text,label
"Olá, estou com dificuldades para acessar o sistema. Poderiam me ajudar a recuperar minha senha?",produtivo
"Preciso de informações sobre o andamento do chamado #4521, aberto na semana passada.",produtivo
Favor confirmar se a atualização do sistema já foi concluída.,produtivo
Estou com dúvidas sobre como gerar o relatório financeiro mensal. Podem me orientar?,produtivo
Solicito a criação de um novo usuário com perfil de administrador para o sistema.,produtivo
Quando será liberada a nova versão do aplicativo? Preciso testar com meu time.,produtivo
Recebi um erro ao tentar enviar arquivos pelo sistema. Podem verificar?,produtivo
Gostaria de agendar uma reunião para revisar os requisitos do projeto.,produtivo
Poderiam atualizar o status do ticket #998? Ainda não obtive retorno.,produtivo
Necessito de suporte para configurar o acesso remoto da minha conta.,produtivo
Parabéns pela excelente apresentação de ontem!,improdutivo
Muito obrigado pela ajuda prestada no chamado anterior.,improdutivo
Feliz aniversário! Desejo muito sucesso e saúde.,improdutivo
"Bom dia a todos, tenham uma ótima semana!",improdutivo
Agradeço a atenção de todos durante a reunião de ontem.,improdutivo
Desejo boas festas e um próspero ano novo para toda a equipe.,improdutivo
Foi um prazer participar do evento organizado pela empresa.,improdutivo
Obrigado pelo rápido retorno no e-mail anterior.,improdutivo
Parabéns pela conquista da certificação!,improdutivo
Desejo sucesso no novo projeto que vocês estão iniciando.,improdutivo
"Por favor, encaminhem a planilha atualizada com os resultados do último trimestre.",produtivo
Poderiam liberar meu acesso ao sistema de relatórios? Estou sem permissão.,produtivo
Necessito que atualizem meu cadastro com o novo endereço da empresa.,produtivo
Podem verificar porque não estou conseguindo finalizar a compra no portal?,produtivo
Solicito orientação para integrar a API do sistema com minha aplicação.,produtivo
Ainda não recebi retorno sobre a proposta enviada. Podem confirmar o status?,produtivo
Favor revisar os documentos anexos e retornar com aprovação.,produtivo
Há previsão para a manutenção agendada no servidor?,produtivo
O relatório que recebi apresenta erros nos valores. Podem corrigir?,produtivo
Podem agendar um treinamento sobre a nova funcionalidade do sistema?,produtivo
Preciso de suporte para reinstalar o software após a troca de máquina.,produtivo
